Fp1-LE_alpha,F3-LE_alpha,C3-LE_alpha,P3-LE_alpha,O1-LE_alpha,F7-LE_alpha,T3-LE_alpha,T5-LE_alpha,Fz-LE_alpha,Fp2-LE_alpha,F4-LE_alpha,C4-LE_alpha,P4-LE_alpha,O2-LE_alpha,F8-LE_alpha,T4-LE_alpha,T6-LE_alpha,Cz-LE_alpha,Pz-LE_alpha,A2-A1_alpha,class
11.19,7.75,13.34,11.89,6.69,8.49,6.46,7.86,8.31,11.32,6.99,4.65,6.09,8.18,10.04,2.77,4.52,8.54,9.02,7.85,0
14.2,9.54,13.86,16.57,11.09,12.98,6.73,11.64,11.53,14.67,9.19,9.2,13.8,14.05,16.58,4.62,8.93,11.43,12.49,9.74,0
10.63,9.36,6.75,10.46,8.8,6.55,4.7,7.26,11.13,8.55,8.85,5.91,7.11,7.81,6.04,2.65,4.4,10.43,9.4,8.79,0
31.42,20.69,49.08,52.89,17.34,16.68,14.99,25.63,23.69,28.18,21.88,16.37,27.07,23.36,18.37,5.11,13.56,26.13,36.55,7.69,0
11.02,9.65,33.14,34.99,15.42,8.3,10.13,17.58,10.45,11.47,9.06,10.73,19.07,25.06,8.55,2.64,11.44,16.71,26.95,6.9,0
8.98,7.08,16.66,15.79,9.63,5.6,6.74,11.53,10.52,8.02,9.82,10.38,18.89,16.46,6.7,4.74,14.66,9.79,11.92,12.24,0
13.4,7.89,13.36,23.14,16.79,8.14,6.24,13.75,10.12,13.52,9.72,10.32,17.39,17.24,12.4,4.48,8.09,9.78,22.06,13.28,0
14.48,11.38,40.41,41.06,21.9,9.76,8.68,17.45,14.75,17.24,16.59,23.5,58.28,59.29,18.79,9.14,27.9,22.05,53.11,10.77,0
16.48,14.06,35.56,57.99,42.53,11.26,13.65,25.62,16.07,18.78,17.83,25.08,63.4,83.09,22.02,8.37,37.37,21.29,60.58,10.83,0
12.55,11.27,9.81,36.93,31.51,12.49,5.62,20.13,11.96,12.7,10.73,12.99,44.24,42.04,17.69,5.41,21.9,13.93,42.64,18.68,0
16.64,12.13,11.8,14.75,12.51,11.6,7.35,11.01,11.79,16.75,11.08,21.98,31.04,20.72,10.75,6.15,16.47,14.29,22.58,9.1,0
15.87,18.48,38.87,47.42,37.81,14.58,15.53,28.37,19.22,16.36,17.16,16.89,52.16,73.72,15.01,6.46,35.39,24.53,47.14,8.83,0
12.0,17.68,25.65,30.44,40.2,11.61,12.77,19.09,23.19,11.92,19.39,14.98,44.13,73.29,10.58,6.39,28.71,20.05,34.78,9.1,0
14.71,12.98,33.39,29.39,13.37,10.31,16.31,17.13,18.86,17.04,18.35,14.72,22.38,24.42,17.31,4.4,19.12,14.03,16.85,13.66,0
14.33,19.02,30.8,58.83,52.99,10.59,13.77,35.51,21.85,14.52,20.47,25.56,63.23,68.86,15.35,10.38,29.73,28.31,68.65,14.54,0
20.26,24.91,41.6,58.77,48.74,12.71,14.87,28.4,34.77,22.64,34.11,41.56,107.16,112.15,19.14,13.19,63.03,32.67,82.02,12.1,0
9.39,13.72,47.42,54.96,26.47,8.56,19.65,40.03,12.49,9.31,10.8,28.95,44.43,24.39,8.42,12.76,23.99,17.74,42.56,15.74,0
10.94,8.88,40.07,65.27,28.49,5.69,13.22,29.72,10.85,11.08,10.08,35.12,68.48,49.55,9.58,12.63,37.68,18.24,60.25,14.15,0
14.12,19.64,49.33,61.38,29.24,10.22,21.68,38.99,23.16,13.7,20.45,26.53,47.73,35.2,10.72,11.14,28.82,26.83,42.39,19.3,0
13.93,19.17,44.93,52.29,48.22,10.74,15.46,40.19,24.68,15.17,26.78,21.93,43.59,49.33,16.35,13.26,28.42,27.52,49.11,14.16,0
